"","V10B01-085_A1","V10B01-085_B1","V10B01-085_C1","V10B01-085_D1","V10B01-086_A1","V10B01-086_B1","V10B01-086_C1","V10B01-086_D1","V11A20-297_A1","V11A20-297_B1","V11A20-297_C1","V11A20-297_D1","V11L05-333_A1","V11L05-333_B1","V11L05-333_C1","V11L05-333_D1","V11L05-335_A1","V11L05-335_B1","V11L05-335_C1","V11L05-335_D1","V11L05-336_A1","V11L05-336_B1","V11L05-336_C1","V11L05-336_D1","V11U08-081_A1","V11U08-081_B1","V11U08-081_C1","V11U08-081_D1","V11U08-084_A1","V11U08-084_B1","V11U08-084_C1","V11U08-084_D1","V12F14-051_A1","V12F14-051_B1","V12F14-051_C1","V12F14-051_D1"
"ENSG00000261115",806,1190,2119,1630,NA,NA,NA,1227,2169,1290,NA,NA,NA,1501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1668,1882,NA,NA,NA,NA,1811,1460,NA,849
"ENSG00000006530",5543,NA,3848,2402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000257093",NA,2120,NA,5054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2072,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000106028",1734,2234,3657,3944,NA,1655,NA,2704,3085,2794,NA,NA,2327,2495,2789,1545,NA,1941,1738,NA,NA,2239,NA,NA,2007,2928,3941,2380,NA,NA,2100,NA,2721,3008,2402,2957
"ENSG00000211772",NA,NA,NA,NA,NA,NA,NA,NA,NA,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000106123",3006,823,1424,1377,NA,NA,NA,NA,NA,1526,NA,NA,NA,NA,832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1389,1495,NA,2268
"ENSG00000197448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,NA,NA,NA,NA
"ENSG00000159784",5087,1738,2593,4194,NA,NA,1714,NA,2998,NA,NA,NA,3494,3733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2098,NA
"ENSG00000159840",2836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000198420",2300,1280,2262,1538,NA,NA,NA,NA,1575,1596,NA,NA,1868,1511,1756,NA,NA,NA,NA,NA,1467,1167,NA,NA,NA,1510,1367,1838,1214,NA,NA,NA,1546,1395,968,1264
"ENSG00000174469",1220,1351,832,1124,1684,1126,2031,856,2012,1598,760,1201,1649,2056,1217,1833,936,1098,1021,1437,1798,1551,NA,NA,1540,904,1397,1277,894,NA,1382,NA,1157,811,1093,1184
"ENSG00000055130",2082,2226,4234,2670,NA,NA,1935,1594,2502,2427,NA,1706,2378,2742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2717,1318,1775,NA,NA,NA,NA,1971,NA,2003,2574
"ENSG00000155660",5014,NA,2739,4234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000171130",383,453,724,429,484,450,349,501,325,149,553,429,427,528,396,367,376,206,128,112,349,294,189,168,281,416,504,343,584,703,267,364,151,120,438,208
"ENSG00000106538",NA,NA,603,1724,NA,1213,1843,NA,2230,261,NA,NA,2015,NA,1186,218,NA,NA,NA,458,NA,NA,NA,204,NA,NA,NA,NA,NA,NA,263,35,NA,NA,NA,NA
"ENSG00000214022",3439,NA,4545,5967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1446,NA,NA,NA,NA
